City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
162,Grindavik,IS,63.8424,-22.4338,46.87,100,90,18.41,light intensity drizzle
163,Hasaki,JP,35.7333,140.8333,64.8,84,100,20.2,light rain
164,Hilo,US,19.7297,-155.09,83.28,84,90,9.22,light rain
165,Panama City,PA,8.9936,-79.5197,82.06,88,40,3.44,scattered clouds
166,Lasa,IT,46.6166,10.7002,41.74,91,93,5.59,overcast clouds
167,Trat,TH,12.5,102.5,80.98,97,100,4.29,overcast clouds
168,Yulara,AU,-25.2406,130.9889,67.35,19,0,9.89,clear sky
169,Faya,SA,18.3851,42.4509,54.12,19,94,4.59,overcast clouds
170,Porto Novo,BJ,6.4965,2.6036,79.0,89,97,6.51,overcast clouds
171,Verkhoyansk,RU,67.5447,133.385,25.25,90,100,6.15,light snow
172,Pisco,PE,-13.7,-76.2167,63.01,77,0,10.36,clear sky
173,Marawi,PH,7.9986,124.2928,74.64,56,72,2.95,light rain
174,Provideniya,RU,64.3833,-173.3,33.91,60,0,8.95,clear sky
175,Doha,QA,25.2867,51.5333,85.98,70,0,5.75,clear sky
176,Tasiilaq,GL,65.6145,-37.6368,30.36,58,9,3.02,clear sky
177,Bredasdorp,ZA,-34.5322,20.0403,57.27,86,100,3.49,overcast clouds
178,Coihaique,CL,-45.5752,-72.0662,49.95,76,100,8.05,light rain
179,Arlit,NE,18.7369,7.3853,81.68,11,20,3.65,few clouds
180,Muzhi,RU,65.3667,64.6667,32.83,97,100,5.46,overcast clouds
181,Jining,CN,35.405,116.5814,62.04,53,5,5.68,clear sky
182,La Macarena,CO,2.1837,-73.7849,72.59,97,87,1.25,overcast clouds
183,Damara,CF,4.9608,18.7035,69.69,98,87,1.92,overcast clouds
184,Ouesso,CG,1.6136,16.0517,70.7,92,100,1.66,overcast clouds
185,Saryozek,KZ,44.3583,77.9753,32.38,57,0,5.46,clear sky
186,Badajoz,ES,38.6667,-6.1667,64.74,64,0,0.43,clear sky
187,Klaksvik,FO,62.2266,-6.589,50.92,98,100,12.15,overcast clouds
188,Riverton,US,40.5219,-111.9391,45.18,76,90,7.0,overcast clouds
189,Namatanai,PG,-3.6667,152.4333,86.43,61,56,8.66,broken clouds
190,Ndende,GA,-2.4008,11.3581,74.34,97,95,1.3,overcast clouds
191,Nikki,BJ,9.9401,3.2108,75.38,72,100,5.08,overcast clouds
192,Hornepayne,CA,49.2138,-84.7705,56.03,98,100,8.97,overcast clouds
193,Torbay,CA,47.6666,-52.7314,48.58,95,100,3.0,light rain
194,Karratha,AU,-20.7377,116.8463,82.54,16,5,26.08,clear sky
195,Mahebourg,MU,-20.4081,57.7,71.26,94,40,3.44,scattered clouds
196,Polunochnoye,RU,60.8697,60.4153,36.73,85,99,3.78,overcast clouds
197,Bilibino,RU,68.0546,166.4372,6.76,85,11,2.89,few clouds
198,Grand Gaube,MU,-20.0064,57.6608,71.38,88,10,1.99,clear sky
199,Someru,EE,59.3611,26.4375,43.81,88,93,4.7,overcast clouds
200,Marshfield,US,44.6689,-90.1718,61.39,88,90,0.0,overcast clouds
201,Manggar,ID,-2.8833,108.2667,84.33,70,100,10.18,overcast clouds
